"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK"
"No","17-FEB-16","13-FEB-16","22:40:00Z","SPRINGFIELD","Missouri","","AIRCRAFT ON LANDING GEAR COLLAPSED, SPRINGFIELD-BRANSON AIRPORT, SPRINGFIELD, MO","Incident","FAA Kansas City FSDO-63","N5350F","","","PIPER","PA34","","Unknown","","LANDING (LDG)","","None","","1","","","","","","","","","","","","","","","","","","",""
"No","17-FEB-16","16-FEB-16","18:40:00Z","VERO BEACH","Florida","","AIRCRAFT ON DEPARTURE STRUCK A BIRD, RETURNED AND LANDED WITHOUT INCIDENT, VERO BEACH, FL","Incident","FAA Orlando FSDO-15","N9244P","","","PIPER","PA28","","Minor","Instruction","TAKEOFF (TOF)","","None","","1","","","","","","","","","","","","","","","","","","",""
"No","17-FEB-16","14-FEB-16","17:30:00Z","AUSTIN","Texas","","AIRCRAFT ON LANDING WENT OFF THE RUNWAY, THROUGH A FENCE AND INTO A FIELD, AUSTIN EXECUTIVE AIRPORT, AUSTIN, TX","Incident","FAA San Antonio FSDO-17","N7045F","","","CESSNA","150","","Unknown","","LANDING (LDG)","91","None","","1","","","","","","","","","","1","","","","","","","","",""
"No","17-FEB-16","15-FEB-16","17:53:00Z","CHARLESTON","West Virginia","","N1107T HUGHES 369D ROTORCRAFT MADE A PRECAUTIONARY LANDING ON A HIGHWAY, NEAR CHARLESTON, WV","Incident","FAA Charleston FSDO-09","N1107T","","","HUGHES","369","","Unknown","","LANDING (LDG)","","None","","1","","","","","","","","","","","","","","","","","","",""
"No","17-FEB-16","16-FEB-16","17:29:00Z","BENCHLEY","Texas","","AIRCRAFT FORCE LANDED IN A FIELD 2 MILES FROM BENCHLEY, TX","Accident","FAA Houston FSDO-09","N732FU","","","CESSNA","210","","Substantial","","UNKNOWN (UNK)","","Serious","","","1","","","","","","","","","1","","1","","","","","","",""
"No","17-FEB-16","16-FEB-16","20:52:00Z","BUCKEYE","Arizona","","AIRCRAFT, LIGHT SPORT EVOLUTION REVO,  ON TAKEOFF CRASHED AND CAUGHT FIRE,  THE 1 PERSON ON BOARD WAS FATALLY INJURED, BUCKEYE, AZ","Accident","FAA Scottsdale FSDO-07","N107SB","","","","","","Substantial","","TAKEOFF (TOF)","","Fatal","Yes","","","","1","","","","","","","","","","","","","","","",""
"No","17-FEB-16","17-FEB-16","11:05:00Z","DETROIT","Michigan","","AMERICAN AIRLINES FLIGHT AAL1241 BOEING 737 AIRCRAFT AND SOUTHWEST AIRLINES FLIGHT SWA9 BOEING 737 AIRCRAFT ON TAXI TO DEICING PAD WHEN RIGHT WING OF AAL1241 STRUCK THE TAIL OF SWA9, NO INJURIES, DAMAGE TO BE DETERMINED, REGISTRATIONS NOT REPORTED,  DETROIT, MI","Incident","FAA East Michigan FSDO-23","AAL1241","AAL1241","AAL-American Airlines","BOEING","737","","Unknown","Commercial","TAXI (TXI)","","","","","","","","","","","","","","","","","","","","","","",""
"No","16-FEB-16","12-FEB-16","15:22:00Z","DENVER","Colorado","","AIRCRAFT LANDED AND THE GEAR COLLAPSED, CENTENNIAL AIRPORT, DENVER, CO","Incident","FAA Denver FSDO-03","N80775","","","GLOBE","GC1B","","Unknown","","LANDING (LDG)","","None","","1","","","","","","","","","","","","","","","","","","",""
"No","16-FEB-16","14-FEB-16","00:15:00Z","DAYTON","Tennessee","","AIRCRAFT FORCE LANDED ON A HIGHWAY, NEAR DAYTON, TN","Incident","FAA Nashville FSDO-19","N7653K","","","PIPER","PA20","","Unknown","","LANDING (LDG)","","None","","1","","","","","","","","","","","","","","","","","","",""
"No","16-FEB-16","13-FEB-16","23:19:00Z","PALO ALTO","California","","AIRCRAFT ON LANDING TIPPED ONTO ITS NOSE, PALO ALTO, CA","Incident","FAA San Jose FSDO-15","N763GL","","","GREAT LAKES","2T1A","","Minor","","LANDING (LDG)","","None","","2","","","","","","","","","","","","","","","","","","",""
"No","16-FEB-16","12-FEB-16","21:20:00Z","BERLIN","New Hampshire","","N70TH DELTA PRIVATE JET FLIGHT DPJ70 CESSNA C56XL AIRCRAFT ON TAXI WING STRUCK A POST, BERLIN, NH","Incident","FAA Portland FSDO-65","N70TH","","","CESSNA","560","","Unknown","Other","TAXI (TXI)","","None","","1","","","","","","","","","","2","","","","","","","","",""
"No","16-FEB-16","13-FEB-16","23:01:00Z","CHINO","California","","AIRCRAFT ON TAXI STRUCK A PARKED AIRCRAFT, CHINO, CA","Incident","FAA Riverside FSDO-21","N67086","","","CONSOLIDATED VULTEE","BT15","","Unknown","","TAXI (TXI)","","None","","1","","","","","","","","","","","","","","","","","","",""
"No","16-FEB-16","13-FEB-16","17:45:00Z","DURANGO","Colorado","","AIRCRAFT LANDED GEAR UP, DURANGO, CO","Incident","FAA Salt Lake City FSDO-07","N5555G","","","CESSNA","210","","Minor","","LANDING (LDG)","","None","","1","","","","","","","","","","","","","","","","","","",""
"No","16-FEB-16","13-FEB-16","02:10:00Z","TULSA","Oklahoma","","AIRCRAFT LANDED GEAR UP, TULSA, OK","Incident","FAA Oklahoma City FSDO-15","N66801","","","BEECH","36","","Minor","","LANDING (LDG)","","None","","1","","","","","","","","","","2","","","","","","","","",""
"No","16-FEB-16","13-FEB-16","14:45:00Z","DAYTONA BEACH","Florida","","AIRCRAFT ON LANDING STRUCK A RUNWAY LIGHT, DAYTONA BEACH, FL","Incident","FAA Orlando FSDO-15","N5144H","","","CESSNA","172","","None","Instruction","TAXI (TXI)","","None","","1","","","","","","","","","","","","","","","","","","",""
"No","16-FEB-16","13-FEB-16","20:00:00Z","HOUSTON","Texas","","AIRCRAFT ON TAXI STRUCK A PARKED AIRCRAFT, WEST HOUSTON AIRPORT, HOUSTON, TX","Incident","FAA Houston FSDO-09","N50808","","","FAIRCHILD","PT19","","Minor","","TAXI (TXI)","","None","","1","","","","","","","","","","","","","","","","","","",""
"No","16-FEB-16","13-FEB-16","01:40:00Z","FORT SMITH","Arkansas","","AIRCRAFT ON TAXI WING STRUCK THE PAVEMENT AND CAUGHT FIRE, FORT SMITH, AR","Incident","FAA Little Rock FSDO-11","N505PC","","","SOCATA","TB9","","Unknown","","TAXI (TXI)","","None","","1","","","","","","","","","","","","","","","","","","",""
"No","16-FEB-16","15-FEB-16","01:08:00Z","ORLANDO","Florida","","N341AG SILVER AIRWAYS FLIGHT SIL70 SAAB 340B AIRCRAFT WHILE AT THE GATE, NUMBER 1 ENGINE CAUGHT FIRE AND WAS EXTINGUISHED, PERSONS ON BOARD DEPLANED VIA STAIRS, NO INJURIES, DAMAGE TO AIRCRAFT MINOR, ORLANDO, FL","Incident","FAA Orlando FSDO-15","N341AG","SIL70","SILVER AIRWAYS","SAAB","340","","Minor","Other","STANDING (STD)","","","","","","","","","","","","","","","","","","","","","","",""
"No","16-FEB-16","12-FEB-16","10:43:00Z","BOSTON","Massachusetts","","N273JB JETBLUE FLIGHT JBU891 EMBRAER ERJ190 AIRCRAFT  WHILE PARKED AT GATE, WAS STRUCK BY A VEHICLE, NO INJURIES, PERSONS ON BOARD DEPLANDED, DAMAGE TO AIRCRAFT UNKNOWN, EAST BOSTON, MA","Incident","FAA Boston FSDO-61","N273JB","JBU891","JBU-JetBlue Airways","EMBRAER","ERJ190","","Unknown","Commercial","STANDING (STD)","","","","","","","","","","","","","","","","","","","","","","",""
"Yes","16-FEB-16","13-FEB-16","21:10:00Z","ANCHORAGE","Alaska","","AIRCRAFT ON TAKEOFF STRUCK A TAXIWAY SIGN, ANCHORAGE, ALASKA  UPDATE: MINOR DAMAGE INCIDENT","Incident","FAA Anchorage FSDO-03","N2032U","","","MAULE","M4","","Minor","","TAKEOFF (TOF)","","None","","1","","","","","","","","","","","","","","","","","","",""
"No","16-FEB-16","12-FEB-16","17:23:00Z","MENOMINEE","Michigan","","N180TH ENTROM TH180 HELICOPTER,  FORCE LANDED ON A STREET, MENOMINEE, MI","Incident","FAA Grand Rapids FSDO-09","N180TH","","","ENSTROM","","","Unknown","","LANDING (LDG)","","None","","1","","","","","","","","","","","","","","","","","","",""
"No","16-FEB-16","15-FEB-16","13:00:00Z","WEST PALM BEACH","Florida","","AIRCRAFT ON TAXI, GEAR COLLAPSED, WEST PALM BEACH, FL","Incident","FAA Miami FSDO-19","N1739G","","","BEECH","55","","Unknown","","TAXI (TXI)","","None","","1","","","","","","","","","","2","","","","","","","","",""
"No","16-FEB-16","15-FEB-16","22:38:00Z","NAPA","California","","AIRCRAFT ON LANDING GEAR COLLAPSED,  NAPA, CA","Incident","FAA Sacramento FSDO-25","N150FC","","","MOONEY","M20M","","Minor","","LANDING (LDG)","","None","","1","","","","","","","","","","","","","","","","","","",""
"No","16-FEB-16","12-FEB-16","23:00:00Z","SANTA PAULA","California","","AIRCRAFT, N704SL CESSNA 150,  AND N57BC AVIAT S2 AIRCRAFT, COLLIDED ON THE RAMP, SANTA PAULA, CA","Accident","FAA Van Nuys FSDO-01","N57BC","","","PITTS","S2","","Unknown","","UNKNOWN (UNK)","","None","","1","","","","","","","","","","","","","","","","","","",""
"No","16-FEB-16","12-FEB-16","23:00:00Z","SANTA PAULA","California","","AIRCRAFT, N704SL CESSNA 150,  AND N57BC AVIAT S2 AIRCRAFT, COLLIDED ON THE RAMP, SANTA PAULA, CA","Accident","FAA Van Nuys FSDO-01","N704SL","","","CESSNA","150","","Substantial","","STANDING (STD)","","None","","1","","","","","","","","","","","","","","","","","","",""
"No","16-FEB-16","12-FEB-16","15:30:00Z","SHIRLEY","New York","","AIRCRAFT LANDED, STRUCK A SNOWBANK AND CAUGHT FIRE, BROOKHAVEN, SHIRLEY, NY","Accident","FAA Farmingdale FSDO-11","N47259","","","CESSNA","152","","Destroyed","","LANDING (LDG)","","None","","2","","","","","","","","","","","","","","","","","","",""
"No","16-FEB-16","13-FEB-16","18:00:00Z","INDEPENDENCE","Oregon","","AIRCRAFT ON LANDING, GEAR COLLAPSED AND GROUND LOOPED, INDEPENDENCE, OR","Accident","FAA Portland FSDO-09","N3625V","","","CESSNA","140","","Substantial","","LANDING (LDG)","","None","","1","","","","","","","","","","1","","","","","","","","",""
"No","16-FEB-16","13-FEB-16","16:30:00Z","PETALUMA","California","","N3647A AEROSTAR INTERNATIONAL RX8 BALLOON, ON LANDING IN A FIELD 1 PERSON ON BOARD SUSTAINED SERIOUS INJURIES, NEAR PETALUMA, CA","Accident","FAA Oakland FSDO-27","N3647A","","","AEROSTAR INTERNATIONAL","RX8","","None","Other","LANDING (LDG)","","Serious","","1","","","","","","","","","","3","","1","","","","","","",""
"No","16-FEB-16","14-FEB-16","23:15:00Z","SLEETMUTE","Alaska","","AIRCRAFT ON LANDING ALONG RIVER, FLIPPED OVER, 145 MILES FROM BETHEL,  NEAR SLEETMUTE, ALASKA","Accident","FAA Anchorage FSDO-03","N2253C","","","CESSNA","180","","Substantial","","LANDING (LDG)","","None","","1","","","","","","","","","","1","","","","","","","","",""
"No","16-FEB-16","14-FEB-16","19:30:00Z","COSTA MESA","California","","AIRCRAFT ON LANDING GROUND LOOPED AND GEAR COLLAPSED, COSTA MESA, CA","Accident","FAA Long Beach FSDO-05","N161SA","","","CHAMPION","8KCAB","","Substantial","","LANDING (LDG)","","None","","1","","","","","","","","","","1","","","","","","","","",""
"No","16-FEB-16","13-FEB-16","14:00:00Z","CARSON CITY","Nevada","","N1181W BELL 47G ROTORCRAFT LANDED OFF THE RUNWAY ONTO ITS SIDE, CARSON CITY, NV","Accident","FAA Reno FSDO-11","N1181W","","","BELL","47G","","Substantial","","LANDING (LDG)","","Minor","","","2","","","","","","","","","","","","","","","","","",""
"No","16-FEB-16","14-FEB-16","10:39:00Z","MINNEAPOLIS","Minnesota","","AMERICAN AIRLINES FLIGHT AAL476 AIRBUS A319 AIRCRAFT, REGISTRATION NOT REPORTED, ENCOUNTERED TURBULENCE, 1 PERSON ON BOARD SUSTAINED A SERIOUS INJURY, LANDED WITHOUT INCIDENT MINNEAPOLIS, MN","Accident","FAA Minneapolis FSDO-15","AAL476","AAL476","AAL-American Airlines","AIRBUS","A319","","None","Commercial","UNKNOWN (UNK)","","Serious","","","","","","","","","","","","","","1","","","","","","",""
"No","16-FEB-16","16-FEB-16","02:00:00Z","SALINAS","California","","AIRCRAFT ON LANDING NOSE GEAR COLLAPSED, SALINAS, CA","Incident","FAA San Jose FSDO-15","N9576L","","","GRUMMAN","AA1","","Minor","","LANDING (LDG)","","None","","2","","","","","","","","","","","","","","","","","","",""
"No","16-FEB-16","15-FEB-16","16:08:00Z","CHANTILLY","Virginia","","AIRCRAFT ON TAXI COLLIDED WITH A VEHICLE, WASHINGTON DULLES AIRPORT, CHANTILLY, VA","Incident","FAA Washington FSDO-27","N886G","","","GULFSTREAM","GULFSTREAM200","","Minor","On Demand","TAXI (TXI)","","Unknown","","1","","","","","","","","","","2","","","","","","","","","2"
"Yes","12-FEB-16","12-FEB-16","01:00:00Z","PETALUMA","California","","AIRCRAFT ON LANDING THE GEAR COLLAPSED, PETALUMA, CA","Incident","FAA Oakland FSDO-27","N2805R","","","SOCATA","TB21","","Unknown","","LANDING (LDG)","","None","","1","","","","","","","","","","","","","","","","","","",""
"No","12-FEB-16","11-FEB-16","20:43:00Z","WEATHERFORD","Texas","United States","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES.  WEATHERFORD, TX","Accident","","N182SD","","","CESSNA","182","","Substantial","","UNKNOWN (UNK)","","Minor","","","1","","","","","","","","","","","","","","","","","",""
"No","12-FEB-16","11-FEB-16","11:32:00Z","DESTIN","Florida","United States","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES.  DESTIN, FL","Accident","","N2209W","","","PIPER","PA28","","Destroyed","","UNKNOWN (UNK)","","Fatal","Yes","","","","1","","","","","","","","","","1","","","","","",""
"No","11-FEB-16","10-FEB-16","16:40:00Z","STURGIS","South Dakota","","AIRCRAFT ON TAXI, PROP STRUCK THE GROUND, STURGIS, SD","Accident","FAA Rapid City FSDO-27","N5945E","","","CESSNA","150","","Substantial","","TAXI (TXI)","","None","","1","","","","","","","","","","","","","","","","","","",""
"No","11-FEB-16","11-FEB-16","00:17:00Z","TULARE","California","","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES AND CAUGHT FIRE,  THE 2 PERSONS ON BOARD WERE FATALLY INJURED, NEAR TULARE AIRPORT, TULARE, CA","Accident","FAA Fresno FSDO-17","N911TS","","","FLIGHT DESIGN","CTLS","","Destroyed","Other","UNKNOWN (UNK)","","Fatal","Yes","","","","2","","","","","","","","","","","","","","","",""
"No","10-FEB-16","09-FEB-16","21:11:00Z","PEMBROKE PINES","Florida","","HK4699G COLUMBIA REGISTRATION, PIPER PA34 AIRCRAFT, ON LANDING GEAR COLLAPSED, PEMBROKE PINES, HOLLYWOOD,  FL","Incident","FAA Miami FSDO-19","HK4699G","","","PIPER","PA34","","None","","LANDING (LDG)","","None","","1","","","","","","","","","","1","","","","","","","","",""
"No","10-FEB-16","07-FEB-16","21:00:00Z","HELLS CANYON","Idaho","","AIRCRAFT ON LANDING GEAR COLLAPSED, HELLS CANYON, ID","Incident","FAA Boise FSDO-11","N6394R","","","","KITFOX","","Unknown","","LANDING (LDG)","","None","","2","","","","","","","","","","","","","","","","","","",""
"No","10-FEB-16","09-FEB-16","21:46:00Z","PALO ALTO","California","","AIRCRAFT, LIGHT SPORT DOVA AS SKYLARK,  ON LANDING NOSE GEAR COLLAPSED AND THE PROP STRUCK THE RUNWAY, PALO ALTO, CA","Incident","FAA San Jose FSDO-15","N511JP","","","","","","Minor","","LANDING (LDG)","","None","","1","","","","","","","","","","","","","","","","","","",""
"No","10-FEB-16","09-FEB-16","23:56:00Z","MESA","Arizona","","AIRCRAFT LANDED AND WENT OFF THE END OF THE RUNWAY, MESA, AZ","Incident","FAA Scottsdale FSDO-07","N929SM","","","PIPER","PA28","","None","","LANDING (LDG)","","None","","1","","","","","","","","","","","","","","","","","","",""
"No","10-FEB-16","09-FEB-16","11:30:00Z","WILLIAMSPORT","Pennsylvania","","AIRCRAFT ON APPROACH TO LAND, STRUCK TREES, LANDED WITHOUT INCIDENT, WILLIAMSPORT, PA","Accident","FAA Harrisburg FSDO-13","N234NC","","","PIPER","PA34","","Substantial","","APPROACH (APR)","","None","","1","","","","","","","","","","","","","","","","","","",""
"No","09-FEB-16","09-FEB-16","02:00:00Z","SANTA BARBARA","California","","AIRCRAFT FORCE LANDED IN THE WETLAND/SLOUGH AREA OFF THE AIRPORT, SANTA BARBARA, CA","Accident","FAA Van Nuys FSDO-01","N113TM","","","BEECH","36","","Substantial","","LANDING (LDG)","","Minor","","","1","","","","","","","","","","","","","","","","","",""
"No","09-FEB-16","08-FEB-16","18:22:00Z","GOODYEAR","Arizona","","AIRCRAFT ON TAKEOFF, STRUCK A BIRD, RETURNED AND LANDED WITHOUT INCIDENT, GOODYEAR, AZ","Incident","FAA Scottsdale FSDO-07","N1564A","","","BEECH","33","","Minor","","TAKEOFF (TOF)","","None","","1","","","","","","","","","","","","","","","","","","",""
"No","09-FEB-16","08-FEB-16","00:00:00Z","EUGENE","Oregon","","AIRCRAFT ON LANDING, GEAR COLLAPSED, EUGENE, OR","Incident","FAA Portland FSDO-09","N756ZD","","","CESSNA","206","","Minor","","LANDING (LDG)","","None","","2","","","","","","","","","","","","","","","","","","",""
"No","09-FEB-16","08-FEB-16","18:33:00Z","BILLINGS","Montana","","AIRCRAFT ON LANDING, GEAR COLLAPSED AND STRUCK THE WING, BILLINGS, MT","Accident","FAA Helena FSDO-05","N562H","","","CESSNA","206","","Substantial","","LANDING (LDG)","","None","","1","","","","","","","","","","","","","","","","","","",""
"No","09-FEB-16","08-FEB-16","18:58:00Z","GOLD BEACH","Oregon","","AIRCRAFT ON LANDING WENT OFF THE RUNWAY INTO A FENCE, AND FLIPPED,  GOLD BEACH, OR","Accident","FAA Portland FSDO-09","N6951E","","","CESSNA","175","","Substantial","","LANDING (LDG)","","Minor","","","1","","","","","","","","","1","","","","","","","","",""
"No","08-FEB-16","04-FEB-16","00:24:00Z","NEWPORT","Rhode Island","","AIRCRAFT ON LANDING STRUCK A BIRD, MIDDLETOWN, RI","Incident","FAA Boston FSDO-61","N102WM","","","PIPER","PA31","","Unknown","","LANDING (LDG)","","None","","1","","","","","","","","","","","","","","","","","","",""
"No","08-FEB-16","05-FEB-16","19:45:00Z","GOODLAND","Kansas","","AIRCRAFT DURING FLIGHT, WINDOW SEPARATED FROM FUSALEGE, LANDED WITHOUT INCIDENT, GOODLAND, KS","Incident","FAA Wichita FSDO-64","N193CG","","","LANCAIR","IV","","Unknown","","UNKNOWN (UNK)","","None","","2","","","","","","","","","","","","","","","","","","",""
"No","08-FEB-16","06-FEB-16","16:45:00Z","CRYSTAL RIVER","Florida","","AIRCRAFT ON LANDING, NOSE GEAR COLLASPED, CRYSTAL RIVER, FL","Incident","FAA Miami FSDO-19","N2015W","","","BEECH","35","","Unknown","","LANDING (LDG)","","None","","2","","","","","","","","","","","","","","","","","","",""
"No","08-FEB-16","06-FEB-16","21:45:00Z","DEFIANCE","Ohio","","AIRCRAFT ON LANDING, GEAR COLLAPSED, DEFIANCE, OH","Incident","FAA Columbus FSDO-07","N252BH","","","MOONEY","M20K","","Minor","","LANDING (LDG)","","None","","1","","","","","","","","","","2","","","","","","","","",""
